Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
mugamit,1,1,1.001314029,1
mugawas,1,1,1,1.001960236
muhatag,1,1,1.001365697,1
muhukum,1,1,1,1.00291137
muing,1,1,1,1.002112417
muiskwila,1,1,1,1.002340689
mukita,1,1,1,1.002454825
mukuyug,1,1,1.001314029,1
mumartsa,2,1,1.001457633,1
mung,1,1,1,1.002163081
munumintu,1,1,1.001221026,1
mupahibalu,1,1,1.001221026,1
mupasiugda,1,1.003326479,1,1
mupatum,1,1.004030242,1,1
murag,1,1,1,1.00291137
musaka,1,1,1,1.002112417
musangat,1,1.003864076,1,1
musugut,1,1,1,1.0020334
musukul,3,1.003656368,1,1.002830136
musunud,2,1,1.001502105,1
mutabang,3,1.003864076,1.001478387,1
mutambung,1,1,1.001131671,1
mutibu,1,1,1,1.001918882
mutugpa,1,1,1.001221026,1
mutum,2,1,1,1.002974699
mutuu,2,1,1,1.002573136
muubsirbar,1,1,1,1.002454825
muunay,1,1,1.001221026,1
narbahu,1,1,1.001314029,1
nbistigasy,1,1,1,1.0020334
ndaui,1,1,1.001245138,1
nday,1,1,1.001201299,1
ndipindincia,1,1,1.001221026,1
nfurcir,2,1.004030242,1,1.002340689
ngaayu,1,1,1.001314029,1
ngadtu,8,1.003938109,1.001656277,1.002570664
ngaging,2,1,1,1.002420542
ngal,2,1,1.001385329,1
ngalagad,1,1,1.001314029,1
nganu,2,1,1.001527431,1
nganung,4,1.004279492,1.001727373,1.002830136
ngataki,1,1,1,1.002112417
ngau,1,1,1.001131671,1
nggagawa,1,1,1.001159025,1
nggang,1,1,1.001201299,1
ngganyu,1,1,1.001245138,1
nghakut,1,1,1,1.002081289
nghinaut,2,1,1.001737806,1
nginahangl,1,1,1.001090823,1
nglis,2,1.004030242,1,1.002340689
ngriklamu,1,1,1,1.0020334
ngunay,1,1.003587132,1,1
ngung,1,1,1,1.001950224
ngutana,1,1,1.001124163,1
nkasu,1,1,1,1.0020334
npurmasy,2,1.003587132,1.001365697,1
ntaw,1,1,1.001377584,1
ntigu,1,1.00344866,1,1
ntika,1,1,1.001148691,1
nting,1,1,1.001173822,1
ntiris,1,1,1.001184859,1
ntirnit,1,1,1.001245138,1
ntrah,1,1,1.001438032,1
nukad,1,1,1.001546535,1
nuktuk,1,1,1.001245138,1
numanu,1,1,1.001438032,1
nuudlis,1,1.003587132,1,1
nyung,1,1,1,1.00348205
nyur,1,1,1.001201299,1
paabut,2,1.003531743,1.001148691,1
paambit,1,1,1.001314029,1
pabarug,3,1,1.001830741,1
paday,1,1.003344806,1,1
padayung,1,1,1.001201299,1
padulung,3,1,1.001583798,1
paduul,1,1.003416705,1,1
pahibawu,2,1,1.001502105,1
pahigay,4,1,1.001703836,1
pahimangnu,1,1,1,1.002198019
pahunung,1,1.003745386,1,1
pakauwaw,1,1,1.001159025,1
pakigbatuk,2,1,1.001275278,1.001918882
pakigbisug,1,1,1.001221026,1
pakita,2,1,1.001221026,1.001918882
pakuyug,4,1,1.001834157,1.00291137
pakyas,2,1,1.001170948,1.002081289
palabi,1,1,1.001184859,1
palagput,2,1.003531743,1.001124579,1
palami,1,1,1.001170948,1
palayu,1,1,1,1.002081289
palibut,1,1,1.001221026,1
palpak,1,1,1,1.002131416
palusut,2,1.003326479,1,1.0020334
pamaagi,1,1.00344866,1,1
pamahayag,1,1,1.001201299,1
pamantala,1,1.003587132,1,1
pamatuud,1,1,1,1.002626029
pamiluk,1,1,1,1.002454825
pamilya,2,1,1.001395415,1.001918882
pamilyang,2,1,1.001626626,1
pampi,1,1,1.001245138,1
pamulung,1,1,1.001314029,1
panabaku,1,1,1.001221026,1
panagiya,1,1,1.001184859,1
panah,2,1,1.001221026,1.002112417
panamin,1,1,1.001090823,1
pananglit,2,1.003587132,1.001365697,1
panawag,2,1,1.00141453,1
panfilu,2,1.003847623,1,1
pangagda,1,1,1.001438032,1
pangakusah,1,1,1.001221026,1
pangandam,3,1,1.001207283,1.002131416
pangandamam,1,1,1,1.002626029
panganduy,1,1,1,1.002454825
pangawat,1,1,1,1.002112417
pangdapat,1,1,1.001201299,1
pangka,1,1,1.001221026,1
panglabay,1,1,1,1.0020334
pangpangrunda,1,1,1.001365697,1
pangtakda,1,1,1.001131671,1
pangulu,1,1.003656368,1,1
